backbone,backbone_key,feature_dim,params,accuracy,precision,recall,f1,auc,cv_accuracy,train_n,val_n,test_n,timestamp
EfficientNet-B2,efficientnetb2,1408,7768569,0.9028871391076115,0.9028782045015699,0.9028871391076115,0.9025684988481586,0.9595849802371542,0.8637681346648236,3406,377,381,2026-08-30_01-16-19
MobileNetV3-Large,mobilenetv3,960,2996352,0.8871391076115486,0.8877812708453782,0.8871391076115486,0.886384427947921,0.9501552795031055,0.8805004715335821,3406,377,381,2026-08-30_01-32-59
ResNet50,resnet50,2048,23587712,0.9028871391076115,0.9028782045015699,0.9028871391076115,0.9025684988481586,0.9655138339920949,0.8954758613562082,3406,377,381,2026-08-30_01-53-46
